res_1105.dat:Pstat		0.193438		0.402215		0.404348	
res_1106.dat:Pstat		0.2046		0.410201		0.385199	
res_1107.dat:Pstat		0.216132		0.413778		0.37009	
res_1108.dat:Pstat		0.224104		0.418811		0.357085	
res_1109.dat:Pstat		0.232136		0.421093		0.346771	
res_1110.dat:Pstat		0.237455		0.424673		0.337872	
res_1111.dat:Pstat		0.241678		0.428145		0.330177	
res_1112.dat:Pstat		0.246541		0.427011		0.326448	
res_1113.dat:Pstat		0.249447		0.430571		0.319982	
res_1114.dat:Pstat		0.253133		0.431719		0.315148	
res_1115.dat:Pstat		0.254571		0.436126		0.309303	
res_1116.dat:Pstat		0.258896		0.435451		0.305653	
res_1117.dat:Pstat		0.261443		0.436498		0.302059	
res_1118.dat:Pstat		0.262462		0.437634		0.299905	
res_1119.dat:Pstat		0.26433		0.439863		0.295807	
res_1120.dat:Pstat		0.265343		0.440914		0.293742	
