res_1010.dat:Pstat		0.240358		0.421874		0.337768	
res_1011.dat:Pstat		0.244222		0.423811		0.331967	
res_1012.dat:Pstat		0.248576		0.425012		0.326412	
res_1013.dat:Pstat		0.250861		0.428728		0.320411	
res_1014.dat:Pstat		0.255107		0.429104		0.315789	
res_1015.dat:Pstat		0.257277		0.431519		0.311204	
res_1016.dat:Pstat		0.259424		0.431724		0.308853	
res_1017.dat:Pstat		0.26184		0.433713		0.304446	
res_1018.dat:Pstat		0.264324		0.435237		0.300438	
res_1019.dat:Pstat		0.263778		0.439654		0.296568	
res_1020.dat:Pstat		0.269073		0.435439		0.295488	
res_105.dat:Pstat		0.200154		0.39896		0.400886	
res_106.dat:Pstat		0.212532		0.406174		0.381295	
res_107.dat:Pstat		0.222815		0.408636		0.36855	
res_108.dat:Pstat		0.228006		0.414405		0.357588	
res_109.dat:Pstat		0.235283		0.41829		0.346427	
