-0.0481089	0	0.923772	0	0.971881	0



-0.746629	1	0.346085	1	1.09271	0



-1.08407	2	0.0174391	2	1.10151	0



-1.35834	3	-0.253532	3	1.10481	0



-1.5343	4	-0.492836	4	1.04146	0



-1.73688	5	-0.734734	5	1.00214	0



-1.80612	6	-0.818792	6	0.987327	0



-1.945	7	-1.00986	7	0.935144	0



-1.98188	8	-1.02388	8	0.958003	0



-2.25822	9	-1.31216	9	0.946058	0



-2.28627	10	-1.31276	10	0.97351	0



-2.46372	11	-1.50998	11	0.953739	0



-2.54183	12	-1.62832	12	0.913508	0



-2.69009	13	-1.78147	13	0.908617	0



-2.9585	14	-2.01196	14	0.946532	0



-3.07778	15	-2.13673	15	0.94105	0



-3.04304	16	-2.11373	16	0.92931	0



-3.24148	17	-2.29817	17	0.943312	0



-3.32298	18	-2.38518	18	0.937805	0



-3.51384	19	-2.53372	19	0.980124	0



