0	1.57714	-60.6723
0.005	1.88832	-63.3088
0.01	2.205	-62.8318
0.015	2.51157	-59.3317
0.02	2.79433	-53.4509
0.025	3.04371	-46.1478
0.03	3.25508	-38.3975
0.035	3.42824	-30.9707
0.04	3.56614	-24.3467
0.045	3.67341	-18.7359
0.05	3.75522	-14.1542
0.055	3.8165	-10.503
0.06	3.86155	-7.6314
0.065	3.89384	-5.37547
0.07	3.91607	-3.57865
0.075	3.93016	-2.09935
0.08	3.93738	-0.810756
0.085	3.93839	0.403292
0.09	3.93328	1.65448
0.095	3.92159	3.05676
0.1	3.90226	4.73277
0.105	3.87358	6.81892
0.11	3.83314	9.46714
0.115	3.7777	12.8404
0.12	3.70326	17.0973
0.125	3.60505	22.3596
0.13	3.47792	28.6578
0.135	3.31696	35.8556
0.14	3.11849	43.5696
0.145	2.88151	51.1231
0.15	2.60907	57.5908
0.155	2.30909	61.977
0.16	1.99409	63.5014
0.165	1.67936	61.8735
0.17	1.38012	57.4055
0.175	1.10873	50.8918
0.18	0.872943	43.331
0.185	0.675616	35.6431
0.19	0.515593	28.4962
0.195	0.389112	22.266
0.2	0.291176	17.0845
0.205	0.216566	12.9211
0.21	0.160463	9.65789
0.215	0.118738	7.14374
0.22	0.0880307	5.22691
0.225	0.0657023	3.77095
0.23	0.049747	2.66017
0.235	0.0386849	1.79937
0.24	0.0314671	1.11072
0.245	0.0273991	0.529565
0.25	0.0260858	-5.30016e-10
0.255	0.0273991	-0.529565
0.26	0.0314671	-1.11072
0.265	0.0386849	-1.79937
0.27	0.049747	-2.66017
0.275	0.0657023	-3.77095
0.28	0.0880307	-5.22691
0.285	0.118738	-7.14374
0.29	0.160463	-9.65789
0.295	0.216566	-12.9211
0.3	0.291176	-17.0845
0.305	0.389112	-22.266
0.31	0.515593	-28.4962
0.315	0.675616	-35.6431
0.32	0.872943	-43.331
0.325	1.10873	-50.8918
0.33	1.38012	-57.4055
0.335	1.67936	-61.8735
0.34	1.99409	-63.5014
0.345	2.30909	-61.977
0.35	2.60907	-57.5908
0.355	2.88151	-51.1231
0.36	3.11849	-43.5696
0.365	3.31696	-35.8556
0.37	3.47792	-28.6578
0.375	3.60505	-22.3596
0.38	3.70326	-17.0973
0.385	3.7777	-12.8404
0.39	3.83314	-9.46715
0.395	3.87358	-6.81893
0.4	3.90226	-4.73278
0.405	3.92159	-3.05677
0.41	3.93328	-1.65449
0.415	3.93839	-0.403311
0.42	3.93738	0.81073
0.425	3.93016	2.09931
0.43	3.91607	3.5786
0.435	3.89384	5.3754
0.44	3.86155	7.6313
0.445	3.81651	10.5029
0.45	3.75522	14.154
0.455	3.67341	18.7357
0.46	3.56614	24.3464
0.465	3.42825	30.9702
0.47	3.25509	38.3969
0.475	3.04372	46.1469
0.48	2.79435	53.4498
0.485	2.5116	59.3301
0.49	2.20504	62.8296
0.495	1.88837	63.3058
0.5	1.5772	60.6682
0.505	1.28608	55.4135
0.51	1.02594	48.4385
0.515	0.802881	40.7434
0.52	0.618277	33.1764
0.525	0.469939	26.3068
0.53	0.353556	20.4213
0.535	0.263964	15.5883
0.54	0.196028	11.7405
0.545	0.145139	8.7443
0.55	0.107423	6.44556
0.555	0.0797679	4.69654
0.56	0.0597587	3.36744
0.565	0.0455758	2.34963
0.57	0.0358928	1.55411
0.575	0.0297864	0.907953
0.58	0.0266669	0.349906
0.585	0.0262306	-0.174015
0.59	0.0284352	-0.71492
0.595	0.0334954	-1.32535
0.6	0.0419013	-2.06365
0.605	0.0544584	-2.99835
0.61	0.0723498	-4.21265
0.615	0.0972193	-5.80831
0.62	0.131272	-7.90814
0.625	0.177378	-10.6547
0.63	0.239154	-14.202
0.635	0.320976	-18.6946
0.64	0.427842	-24.2286
0.645	0.564984	-30.7895
0.65	0.737122	-38.1725
0.655	0.947311	-45.9067
0.66	1.19552	-53.2295
0.665	1.4773	-59.1686
0.67	1.78327	-62.7591
0.675	2.09985	-63.3414
0.68	2.41145	-60.8022
0.685	2.70344	-55.6184
0.69	2.9647	-48.6764
0.695	3.18895	-40.9766
0.7	3.37464	-33.3742
0.705	3.52383	-26.4473
0.71	3.64074	-20.4893
0.715	3.73046	-15.5714
0.72	3.79808	-11.6253
0.725	3.84811	-8.51201
0.73	3.88431	-6.0689
0.735	3.90964	-4.13559
0.74	3.92627	-2.56523
0.745	3.93568	-1.22639
0.75	3.93873	-1.25051e-09
0.755	3.93568	1.22639
0.76	3.92627	2.56523
0.765	3.90964	4.13559
0.77	3.88431	6.0689
0.775	3.84811	8.51201
0.78	3.79808	11.6253
0.785	3.73046	15.5714
0.79	3.64074	20.4893
0.795	3.52383	26.4473
0.8	3.37464	33.3742
0.805	3.18895	40.9766
0.81	2.9647	48.6764
0.815	2.70344	55.6184
0.82	2.41145	60.8022
0.825	2.09985	63.3414
0.83	1.78327	62.7591
0.835	1.4773	59.1686
0.84	1.19552	53.2295
0.845	0.947311	45.9067
0.85	0.737122	38.1725
0.855	0.564984	30.7895
0.86	0.427842	24.2286
0.865	0.320976	18.6946
0.87	0.239154	14.202
0.875	0.177378	10.6547
0.88	0.131272	7.90814
0.885	0.0972194	5.80831
0.89	0.0723499	4.21264
0.895	0.0544586	2.99834
0.9	0.0419016	2.06363
0.905	0.0334958	1.32533
0.91	0.0284357	0.714888
0.915	0.0262313	0.173971
0.92	0.0266678	-0.349967
0.925	0.0297877	-0.908037
0.93	0.0358947	-1.55423
0.935	0.0455783	-2.34979
0.94	0.0597622	-3.36766
0.945	0.0797727	-4.69684
0.95	0.107429	-6.44598
