


0.026108	0	-0.897718	0	0.997685	0



0.926774	1	-0.590308	1	0.929764	0



1.40233	2	-0.408524	2	0.894181	0



1.83774	3	-0.278787	3	0.852044	0



2.05265	4	-0.0430461	4	0.799742	0



2.29444	5	0.225187	5	0.785531	0



2.33798	6	0.383534	6	0.804943	0



2.39698	7	0.64086	7	0.795744	0



2.43936	8	0.673796	8	0.826828	0



2.69784	9	1.00617	9	0.838257	0



2.78132	10	0.975654	10	0.86036	0



2.89007	11	1.20486	11	0.863604	0



2.94729	12	1.36363	12	0.835343	0



3.05005	13	1.54658	13	0.841546	0



3.28342	14	1.81476	14	0.895543	0



3.40257	15	1.93462	15	0.891405	0



3.30108	16	1.96627	16	0.892784	0



3.5298	17	2.13154	17	0.905703	0



3.52519	18	2.2611	18	0.911037	0



3.76315	19	2.39607	19	0.953486	0
