res_1305.dat:Pstat		0.19436		0.403848		0.401793	
res_1306.dat:Pstat		0.207046		0.408865		0.38409	
res_1307.dat:Pstat		0.216216		0.414679		0.369106	
res_1308.dat:Pstat		0.225109		0.418511		0.35638	
res_1309.dat:Pstat		0.231		0.422494		0.346506	
res_1310.dat:Pstat		0.237618		0.424647		0.337736	
res_1311.dat:Pstat		0.242094		0.426957		0.330949	
res_1312.dat:Pstat		0.246476		0.428933		0.324591	
res_1313.dat:Pstat		0.249686		0.431302		0.319012	
res_1314.dat:Pstat		0.252698		0.432614		0.314688	
res_1315.dat:Pstat		0.255318		0.43568		0.309002	
res_1316.dat:Pstat		0.257813		0.43522		0.306967	
res_1317.dat:Pstat		0.261108		0.43587		0.303022	
res_1318.dat:Pstat		0.264908		0.435261		0.299831	
res_1319.dat:Pstat		0.265589		0.438101		0.29631	
res_1320.dat:Pstat		0.266344		0.439987		0.293669	
